ImageID,Taxa in original image,"Makes treefile / svg? (1=yes, 0=no)",GenBankIDs,Pseudo-GB-IDs,Pseudo/Total %,Tree Assessment (out of 100),Taxon labels missing,Can TreeGraph2 interpret Newick output,Number of OCR errors (raw number of incorrect characters),Notes,Link to Original Image
65013-0-002,74,0,,,0,no tree,,n/a,,text too small?,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65013-0-002.pbm.png
65013-0-003,77,0,,,0,no tree,,n/a,,text too small?,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65013-0-003.pbm.png
65013-0-004,71,0,,,0,no tree,,n/a,,text too small?,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65013-0-004.pbm.png
65013-0-005,57,0,,,0,no tree,,n/a,,text too small?,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65013-0-005.pbm.png
65014-0-000,26,1,17,18,69.23076923,100,8,1,6,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65014-0-000.pbm.png
65015-0-000,5,1,0,0,0,85,6,1,1,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65015-0-000.pbm.png
65016-0-000,53,0,,,0,no tree,,n/a,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65016-0-000.pbm.png
65017-0-001,17,1,14,14,82.35294118,100,3,1,0,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65017-0-001.pbm.png
65018-0-000,19,0,,,0,no tree,,n/a,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65018-0-000.pbm.png
65019-0-000,12,1,4,4,33.33333333,100,8,1,3,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65019-0-000.pbm.png
65020-0-000,26,1,21,21,80.76923077,100,5,1,13,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65020-0-000.pbm.png
65021-0-000,31,1,0,0,0,90,23,0,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65021-0-000.pbm.png
65022-0-000,24,1,0,0,0,100,,0,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65022-0-000.pbm.png
65023-0-000,17,1,0,0,0,100,,0,,successfully interprets despite filled black circles at nodes,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65023-0-000.pbm.png
65025-0-001,31,1,0,0,0,85,all missing,1,16,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65025-0-001.pbm.png
65026-0-000,15,1,0,0,0,85,1,0,,,https://github.com/rossmounce/temporary/blob/master/batch3all/images/ijs.0.65026-0-000.pbm.png
